id,description
118548,"Public clinic providing adolescents and adults with outpatient psychiatric care, psychological therapy, and medication management."
118577,"Public program providing workshops throughout the city about intimate partner violence, healthy relationships and dating violence prevention."
118607,"Operates support group for parents, families and friends of LGBT, promotes LGBT equality and civil rights, and works with schools and organizations to promote safer LGBT environments."
118672,Public health center providing patients of all ages with primary and specialty medical care behavioral and mental health treatment dental and eye care services and WIC enrollment and services.
118674,"Public clinic providing individuals of all ages primary and specialty medical care including pediatrics, Obstetrics and Gynecology."
119013,"Local government office providing Nassau county residents with referrals to mental health, chemical dependency and developmental disabilities services."
119015,Public health center providing Suffolk County residents of all ages with primary and specialty medical care.
119116,"Public recreation center that provides children, adults, and seniors with fitness facilities, recreational classes, access to a computer resource center, and computer classes."
119119,"Public recreation center that provides children, adults, and seniors with fitness classes, activities, indoor pool, and access to a computer resource center."
119120,"Public community center offering children, adults, and seniors social, recreational, and educational activities, including sports programs, games, arts and crafts, dancing, and access to computers."
119121,"Public recreation center providing children, adults, and seniors with a fitness center and recreational activities."
119126,"Private organization providing children, adults, and seniors with guided running clubs, classes, and events also provides information about nutrition and health."
119154,Offers leadership and educational programs for young people with a focus on global issues.
119228,"Public outpatient clinic providing veterans with primary medical care, mental health care, and referrals to specialty care services."
119229,Public outpatient clinic providing veterans with primary medical care and referrals to specialty care services.
119235,"County program providing veterans and their families with information and referrals for housing, employment, academic opportunities, medical insurance, and other social resources."
119241,"Public support center providing combat veterans and their families with psychological assessments, mental health services, and readjustment counseling."
119354,"Public recreation center that provides children, youth, adults, and seniors with fitness facilities and classes."
119380,Public health clinic providing Pediatric services to ages birth to 18 with primary care services. Medical referrals also available.
119384,"Private organization providing individuals of all ages with home health care, including physical, occupational, and speech therapy."
119385,Clinic providing individuals of all ages with primary medical care.
119391,Public outpatient health center offering medical care for children ages 18 and younger.
119402,Public pediatric clinic providing children ages 18 and under with primary and preventive care.
119411,Public health center providing patients under the age of 21 with primary and preventive health care services.
119870,"Publicly funded senior wellness center providing the over 60 population in the surrounding Nassau communitieswith social and recreational activities including lunch, trips, and exercise classes."
119941,Non profit community organization providing individuals in need with a soup kitchen.
119942,Non profit community organization providing individuals in need with food and clothing. Food pantry and showers are available.
120029,Public office providing elderly NY residents of all ages who are legally blind or visually impaired with home management services.
120098,"Provides Youth, Adults, Seniors, And Families With Information, Classes, And Workshops On Nutrition Education, Health And Wellness, And Food Budgeting."
120388,Care clinic offering support and treatment for people addicted to smoking.
120394,"Public health center providing patients of all ages with primary and specialty medical services, dental care, and opticalcare."
120397,Public health center providing patients of all ages with primary care and referrals for specialty care.
120433,Public mobile medical clinic offering adults eye care and podiatry services.
120477,Public agency providing financial assistance to individuals in need of assistance for funeral expenses.
120769,Offers Support And Assistance To People Addicted To Smoking.
120771,"Public Health Clinic Providing Primary And Specialty Care For Patients Of All Ages, With A Focus On West African Immigrants."
120778,Public dental clinic providinggeneral and specialty dentistry for patients of all ages.
121195,"Public health center providing individuals of all ages with primary and specialty medical services, dental care, and WIC enrollment."
121242,Public dental clinicproviding general andspecialty dental servicesfor patients of all ages.
121336,Helps people quit smoking and remain smoke free through teaching cognitive and behavioral modification techniques.
121376,Mt. Sinai is a full service hospital with numerous medical services.
121467,"Provides birth to age 21 with primary care services, specialty care and referrals."
121469,"Offers resources for families with children up to age 12. Provides programs including storytelling, musical and theatrical performances, spoken word performances and guest appearances."
121507,Inpatient psychiatric hospital.
121564,"Public health center providing individuals of all ages with primary medical services, dental care, and WIC enrollment and services."
121584,"Public clinic providing free and confidential testing and treatment for tuberculosis, and HIV testing and counseling."
121824,"Public outpatient health center providing individuals of all ages with medical, dental, and optical services mental health screenings socialwork services and WIC and public insurance enrollment."
121982,Church providing those in need with hot meals and secondhand clothing once a week.
122028,Publicagency providingadults living with mental illnesses with referrals for supportive housing throughout Nassau and Suffolk County.
122037,"Church social service ministry offering community residents in need a soup kitchen, food pantry, clothing, and for immigrants translation services and help with immigration."
122040,Health center providing adults with primary and specialty medical services and dental care.
123023,"Public veterans hospital providing acute medicine, surgery, acute psychiatry, neurology, and rehabilitation medicine to eligible veterans."
123085,Public health center providing patients of all ages with primary and specialty medical care and WIC enrollment and services.
123087,Public clinic providing medical care to children and adolescents up to age 21.
123089,Public health clinic providing primary health care for children and adolescents ages 21 and under.
123090,Public child health center providing primary care for children and adolescents up to age 21.
123206,"Services include congregate food stamps assistance, nutrition education, health screenings, respite care, recreation activities for seniors age 60 or older."
125740,Provides transitional housing and services for women
125817,Provides emergency short term and transitional housing services for women and children affected by domestic violence
125826,Provides individual and group counseling for women and children.
125959,Provides a five year subsidized housing and support services for homeless families only. Head of household can be male or female but must have had a history of substance abuse
126376,Provides permanent housing and social service support to formerly homeless men and women with chornic mental illness.
126681,Provides information about depression and mood disorders. Individuals can call to receive information via mail about depression. Also links individuals with support groups for depression.
126727,Distributes used clothes and food to the homeless as donations allow.
126741,This health center is currently undergoing renovations. Returning in 2017 with a bigger and better health center.
126744,Makes referrals for people with all types of disabilities and for people with disability related questions.
126776,Provides emergency canned goods to needy families who reside within the Parish.
126780,"Provides medical and dental examinations, medications, lab tests, and referrals to people in need, regardless of ability to pay."
126794,Provides clinical patient care in a setting that facilitates the education of medical and health professionals and allows for research that will enhance the education process and benefit the patient.
126813,"Provides services, information about local and national labor markets and unemployment insurance."
126828,"Provides direct legal services, housing counseling, citizenship education, and community economic development for the local Hispanic community."
126861,Provides a comprehensive educational program for learning disabled children and adults. Local school districts and vocational rehabilitation services may fund students.
126875,Professional education association concerned with issues related to mental retardation.
126944,Provides classes in important computer skills. Beginning and advanced classes in popular software applications available
126955,"Offers a WIC clinic that provides health screenings, nutrition education, breastfeeding support and postpartum care."
126974,"Offers a wide variety of recreation, leisure and educational programs. Activities include tennis and basketball"
126977,"Offers a wide variety of recreation, leisure and educational programs. Offers a baseball field, basketball court, multipurpose room and playground."
126980,Offers a variety of arts programs and classes for adults and youth.
126991,"Offers a wide variety of recreation, leisure and educational programs and a fitness center"
126992,Offers a swimming pool and outdoor recreational activities.
126993,"A full service facility filled with state of the art equipment and amenities offers a wide variety of recreation, leisure and educational programs"
126996,"Center is a smaller site offering ball fields, tennis courts, a splash park, playground and tennis courts."
127010,"Acquires and organizes information, including books and other materials to meet the educational, cultural and recreational needs of adults and children in the community."
127041,Distributes eligible toys and gifts to children for Christmas registered with the Angel Tree Christmas Program. Callers must register in advance providing all necesarry documentation
127055,"Provides housing, meals, physical care, life skills, training, and recreation activities to those with intellectual disabilities."
127056,Operates a Christian facility caring for persons with Intellectual and Developmental Disabilities.
127058,"NCBA owns and manages low income senior housing facilities in 5 states and the District of Columbia. Provides safe, decent and sanitary housing for seniors and persons with disabilities"
127063,"Provides education, training, and employment services for people with disadvantages and disabilities. Offers life skills training, computer classes, and a job placement services program."
127090,"Offers Financial Assistance For Bill Payment, Discounts On Utility Bills, Weatherization And Late Bill Forgiveness Programs."
127106,Provides HIV and STD screening and testing services. Offers prevention information and supplies.
127118,"Affiliated with the national organization, students travel on field trips to assist in the construction of new housing or repair existing housing for low income home buyers in communities in need."
127123,Provides primary medical care and social service referrals to homeless individuals.
127139,"Provide a safe space for people experiencing homelessness to come, feel welcome, and to simply belong."
127146,Offers citizenship classes on weekends and weekdays. Call for upcoming class times. Classes are in English
127155,"Serves as a community liaison ensuring that a full range of health, education, employment, housing, and social services are available to the Latino community in the District of Columbia"
127164,"Provides information about courtroom assignments, directions to offices within the courthouse, the status of recently arrested individuals and other related topics."
127166,"Provides legal representation and information to low income persons who have civil, criminal, and housing legal problems that originated in the District."
127168,Collects donated winter coats and jackets which are distributed to agencies and individuals in need. Operates seasonally from November through March.
127190,"Provides services that are culturally competent and focused on personal development and enrichment for adults and children with developmental disabilities, as well as their caretakers and families."
127214,"Multicultural health care center provides Early Intervention Program, Home Visiting Program, Fatherhood Program, and Mental Health Services."
127223,"Offers seniors a place to socialize and enjoy a nutritious meal every weekend. Additionally, provides free recreational activities, health screenings, art and crafts, and special events"
127248,Provides a transitional program for 18 women that is supervised by licensed professional counselors acting as case managers to provide individual support for 90 days.
127258,Provides a central reference resource for the Talking Books program. Advises on the nearest library to obtain books on tape. Provides information on availability of books in Braille.
127276,The Recreation Center organizes and operates an after school program as well as many recreational opportunities.
127292,"Offers a variety of exciting urban camping opportunities for youth ages 3 to 17 that include sports camps, aquatic camps, therapeutic camps, and other day camps."
130402,"The Delaware Council on Gambling Problems, Inc. provides support, literature, training programs and referrals to individuals with gambling problems"
130403,Our mission is to create hope by helping people identify and secure the most important assets in their lives.
130410,The Financial Empowerment Program supports individuals along a path from financial hardship to economic security.
130417,"Grief support group for families of children of any age who have died. This includes parents, siblings and grandparents."
130425,Senior Helpers has been specializing in providing professional personal care and companion care to seniors who desire to maintain their independence at home.
130431,"New Castle Community Activity Centers are places for county residents of all ages to gather to participate in reasonably priced activities that stimulate the mind, body and spirit."
130432,"New Castle Community Activity Centers offer inviting atmosphere to participate in activities that stimulate the mind, body and spirit."
130437,The Family Court Resource Center provides litigants with a central location where they can find resources to help guide them through the legal process.
130438,The Domestic Violence Advocacy Program provides support and advocacy for victims of Domestic Violence who are involved in cases in Family Court in New Castle County.
130444,Providing new or expectant mothers with a safe crib for her baby.
130463,The Pantry of Hope operates an emergency food closet. They also have a weekly food distribution program every Wednesday.
130467,This Program Provides Information About Public Health Services. Referrals To Some Public Health Programs Are Accepted.
130477,Provides HIV health education for the New Castle County community.
130479,"Provides a range of social medical services to women, children, and adults."
130481,Operates a food Pantry.
130484,Food Bank of DE provides low and no cost food to its Hunger Relief Partners throughout Delaware.
130488,"The mission of the Hearing Loss Association of America, Delaware Chapters are to provide help and hope to people with hearing loss through information, education, advocacy and support."
130489,Stand By Me was formed to create and implement a package offinancial empowerment services to increase the financial security of low andmoderate income Delawareans
130492,A comprehensive service program for pregnant teenagers and adolescent parents.
130506,Treatment Foster services for teenagers who are dependent with emotional problems and who have been adjudicated delinquent.
130508,Offers An Array Of Home Health Care Services
130512,"We offer a number of tailored programs for adolescents, adults, and senior adults."
130527,"The Brain Injury Association of Delaware strives create a better future through brain injury prevention, research, education, and advocacy."
130529,"Provides Diapers, baby food, baby cereal, formula and occasionally baby wipes to families that need them. We also provide fellowship and referral for outside help to other agencies."
130536,Telephone referral service for grief resources throughout northern Delaware.
130538,"Home for elderly poor, men and women."
130541,"Glasgow High School Wellness Center provides comprehensive medical and mental health care, treatment and health education, to promote a healthy lifestyle."
130554,"Promotes and provides nutritional, recreational, cultural, and enrichment opportunities to the senior population, 50 years of age and older."
130561,Appoquinimink State Service Center provides the following services
130563,Provides assistance to individuals with disabilities by providing assistive technology to help remove barriers so that disabled adults may live independently.
130573,"Senior Rollcall Life Line is reliable, daily telephone reassurance for seniors in New Castle County."
130587,"State licensed facility providing full day care, education recreation and nutrition to children aged 6 weeks to 6 years."
130590,The Cancer Prevention and Support Services offers education on cancer prevention and cancer screenings and provides support for those individuals who have been diagnosed with Cancer.
130597,"The Milford Senior Center has been an integral part of our community offering the very best programs, services and activities for our Senior Residents."
130609,Calvary United Methodist Church has a clothing closet.
130612,"The Home of the Brave Foundation was established to furnish food, shelter and counseling to veterans of the Armed Forces of the USA without regard to sex, race, color, or creed."
130614,Turning Point offers a broad range of services throughout Kent and Sussex Counties for domestic violence offenders and victims and children affected by domestic violence.
130615,Provides home health aides to assist with housekeeping and ADLs as well as skilled care.
130646,First State School gives children and adolescents who would otherwise be home bound with serious illnesses the chance to attend school while they get the medical treatment they need.
130649,The Rose Hill Community Center has something to enrich the lives of people of all ages.
130655,Echo Center is a mentalhealth and substance abuse treatment center with an ambulatory detox. Assists individuals in setting and striving toward goals that improve the quality of their lives.
130672,"The Child Services Department of the Salvation Army operates a child care, after school program and summer day camp."
130674,"Salvation Army, New Castle Cares Program is a program for City of New Castle Electric customers with Municipal Services Commission as a provider."
130678,"Salvation Army Senior Center, serves hot meals at breakfast and lunch."
130681,Provides licensed assessment and treatment for mental health and substance use disorders.
131282,"An alternative school setting for children of normal intelligence, who have special learning needs."
131287,"In concurrence with the attending physician, provides 24 hour access to palliative care and emotional support to terminally ill patients regardless of their ability to pay."
131288,"Transitions helps patients who are seriously ill, but who are not ready for hospice care, get the resources they need."
131295,"Care management programs focus on meeting physical, social and emotional needs of vulnerable populations including older adults, physically challenged adults, their families and caregivers."
131308,Cheer Coastal Leisure Center Is A Leisure Center Providing Recreation Services For 50 And Over Crowd.
131309,"The South Coastal Library provides books, magazines, newspapers and DVDs."
131311,Newark Empowerment Center is located in United Methodist Church. It is a day center sponsored by area churches.
131314,Nonprofit no kill animal shelter and adoption center.
131334,"An affordable, independent living retirement facility for well elderly"
131345,Services for victims of violent crimes committed within the Wilmington city limits.
131359,"Centrally located in the City of Wilmington, this cluster of parks offers opportunities for recreation, education, and sports and community events."
131363,House of Joseph Transitional Residence provides homeless persons with transitional housing for up to two years following a stay in House of Joseph I or Hope House I Emergency Shelter.
131367,The Helen F. Graham Cancer Center provides a number of supportive services for their patients.
131371,Rotary House is a transitional shelter for homeless families.
131373,Provides a variety of public health clinical and educational services.
131374,Nutrition education and counseling.
131384,Seaford Center is a Skilled Nursing Facility that includes an attached Assisted Living Community.
131386,Nanticoke Health Services include Nanticoke Memorial Hospital and the Nanticoke Physician Network.
131397,"Lab Express, Diagnostic Imaging and Physical Therapy outpatient services in Lewes."
131404,"A free program of hope, understanding and caring for people with cancer and their loved ones."
131409,"The Wilmington Senior Center provides health and wellness, exercise, cultural, recreational, and social services for the elderly."
131410,The Caregiver Resource Center provides information about care giving.
131420,A 30 day shelter that houses women of all ages along with their children up to the age of 18.
131424,"MMHH II, for Women and Children, houses single women and children throughout Delaware, New Jersey and Philadelphia. Length of stay approximately 30 days."
131430,"This program is designed to assist families and individuals to meet their immediate basic needs of food, heat and electricity in crisis situations while helping them become more stable going forward."
131431,"Provides a full range of services, advice, and technical assistance to housing clients."
131432,"Delaware Guidance Services for Children and Youth Inc. provides counseling for children, adolescents and families."
131433,"Developer of affordable housing that delivers instructional programs to help low and moderate income families acquire the knowledge, skills and tools which enable them to achieve home ownership."
131446,This shelter provides housing and supportive services for those women 18 and over who want to address the root causes of their homelessness.
131456,The church hosts food distributions throughout the month for both seniors and the general public.
131462,Offers rental assistance to those that qualify when funds are available. You must live in Wilmington to receive services and provide a demonstrated need for services.
131466,Coalition of Churches provide funds to help the needy with financial emergencies.
131468,"The Credit Clinic provides appointments relating to money management, budgeting, and credit related issues. It also features presentations on our signature curriculum, Money Matters."
131480,This program provides interest free loans and or grants for low income families who can meet their living expenses but are experiencing an emergency situation at this time.
131488,Temporary Shelter and Services for homeless women.
131490,"Provides information, support and services to persons with Multiple Sclerosis, their family and friends."
131494,The Henrietta Johnson Medical Center offers a wide range of Dental services for both youth and adults.
131502,"Through our Outreach Committee, Grace Church United Methodist sponsors a number of other worthwhile programs."
131505,"Catholic Charities provides routine outpatient counseling to individuals with emotional, behavioral, and mental health concerns."
131508,"Catholic Charities HIV Services provides those infected or affected by HIV limited financial assistance for rent, utilities, furniture, and clothing, as well as transportation vouchers."
131528,Health and Distaster Services Training
131734,Holy Spirit Outreach Food Pantry At Rose Hill Community Center.
131737,"Fish Volunteers Provide Transportation To Appointments At Doctors, Clinics And Hospitals In Delaware. This Is For Ambulatory Persons When No Other Agency Or Resource Is Available."
131738,The Delaware Coalition Against Domestic Violence helps coordinate service providers and advocates for domestic violence prevention throughout the State of Delaware.
131739,We provide a multitude of programs for single parent families at no cost to our clients.
131742,The Wellness Program is designed to assist individuals in their quest to access a drug free and healthy lifestyle.
131743,"The Otis Heady, Jr. Youth Center at Peoples Settlement, provides a haven for youth. The center sponsors cultural, recreation and enrichment activities."
131746,A self development program designed to help individuals and families identify and reach their goals.
131757,Provides Care For Children Referred Through Division Of Family Services Including Those With Specialized Medical Needs Including Aids And Hiv Positivity.
131767,Elwyn Community Employment Program provides employment services to individuals with developmental disabilities and support services the business community.
131774,"Caring for children with special needs is often complex, and Delaware Family Voices and the Family to Family Health Information Center is in the unique position to help."
131782,"Provides a wide range of medical equipment including wheelchairs and mobility products for rent of purchase. Also, ramps and home modifications."
131787,"Catholic Charities HIV Services provides those infected or affected by HIV limited financial assistance for rent, utilities, furniture and clothing."
131788,"This program provides assessment and routine outpatient treatment for addiction recovery, mental health concerns."
131789,Catholic Charities Provides Outpatient Counseling Programs
131802,The Youth Center at Dover Air Force Base is an extension of the Boys and Girls Club of Delaware.
131805,Operates a food closet.
131811,"Westside Family Healthcare provides dental care all ages, from baby to adult"
131812,"Provides health care to home bound patients, skilled nursing care, home health aides."
131828,Neighborhood House offers a variety of programs and services that cater to many different needs serving residents in New Castle County
131841,"Caesar Rodney School District offers Americanization classes for adults who want to improve oral communication, reading, and writing skills in English or become an American citizen."
131846,"Cape Behavioral Health is an outpatient psychotherapy practice offering outpatient psychotherapy services to individuals of all ages, couples and families."
131852,A social service agency which provides specialized foster care and adoption services.
131870,Provides the following services for older adults throughout Kent County
131871,"Generations Home Care, is a statewide nonprofit that provides skilled nursing visits"
131875,"Provides disaster coordination and recovery assistance for floods, fires, hurricanes, tornadoes, train derailments, plane crashes, etc."
131885,"Provides psychiatric and behavioral health care services to children, adults, and families with special needs which derive from behavioral psychological, intellectual and psychiatric impairments."
131902,"This federal program is offered statewide by DSHA and provides financial assistance to affordable housing providers, often in conjunction with Housing Development Fund financing."
131909,"The ACE Network offers professional development opportunities to teachers, educational professionals and literacy providers."
131919,Screening for Life provides payment for cancer screening tests to qualified Delaware adults.
131923,The Division of Developmental Disabilities Services provides day rehabilitation programs ranging from therapy services to work experiences.
131931,"The Offices And Programs That Eht Oversees Includes Programs That Monitor And Enforce Health And Safety Standards, As Well As The Prevention And Control Of Environmental Risk To Human Health."
131938,To Assist People Who Have Disabilities Or Who Are Disadvantaged To Obtain Employment.
131940,"Bellevue State Park is the former estate of William DuPont, Jr. which now encompasses 328 acres of beautiful settings, historic charm and recreational opportunities."
131945,A telephone based crisis hotline program.
131961,"An open house for alcoholics and other addicts offering friendship, advice and counseling on an informal basis."
131968,Provides independent living services to persons who experience a significant disability.
131972,Provides HIV counseling and testing.
131973,Provides pregnancy counseling and testing by Advance Practice Nurses.
131974,"Provides accommodations for independent living, assisted living, and seniors with memory impairment."
131983,Food Closet and Emergency Food Distribution
131992,"Provides outpatient mental health and substance abuse treatment for children, adolescents and adults."
131999,Cooperative Extension Program is an outreach of the University of Delaware.
132002,"Society of Saint Vincent de Paul is a faith based organization, providing person to person service for those in the community in need of utilities and rental assistance."
132003,"Red Lion UMC sponsors an Emergency Food Closet. People may come once a month, a total of 3 times."
132006,"Advoserv Has Provided Residential Behavioral Treatment Services To Children, Adolescents And Adults, And Daytime Educational Services To Students."
132018,"Medicare Certified Home Health Agency, offering skilled services for nursing, physical and occupational therapy for homebound individuals. Service must be prescribed by a physician."
132947,Provides free pregnancy test with support services.
132948,"A high school based wellness center providing medical, mental health and dietician services to high school students at Sussex Technical High School."
132952,Provides Social Work Assistance To Those Division Of Public Health Clients And Other Vulnerable Sussex County Populations.
132955,Intergenerational program sends pets and their owners into nursing homes in Sussex Co.
132963,Stand By Me was formed to create and implement a package offinancial empowerment services to increase the financial security of low andmoderate income Delawareans.
132971,The Domestic Violence Advocacy Program provides support and advocacy for victims of Domestic Violence who are involved in Cases at Family Court in Sussex County.
132980,The emergency food closet program provides food supply packages to families in a crisis situation. Clients may apply as the need arises.
132984,"Housing and financial education programs provide objective information, education, and guidance to all housing consumers for obtaining, maintaining and retaining appropriate housing."
132987,"An institution of higher education that offers academic, technical, continuing education, and workforce training opportunities in Delaware."
132989,"Catholic Charities HIV Services provides those infected or affected by HIV financial assistance for rent, utilities, furniture and clothing."
132993,"Catholic Charities Pregnancy Counseling services are free and confidential to the expecting parent, the birth father, and other members of the families as needed."
133006,Primary site for Public Health Services in Kent County.
133012,GED Test Preparatory Course
133016,"High School Wellness Center providing medical services, short term mental health, nutrition and sports physicals."
133021,"Offers limited financial grants for medical supplies, food, transportation, organ donation, and other treatment related expenses for Delawareans suffering from kidney diseases."
133039,Helps veterans to get benefits and services.
133043,"Resources, education, support and advocacy for individuals with Down Syndrome and their families."
133044,"Cancer Support Community assists people with cancer and their loved ones by providing professionally led programs of emotional support, education and hope."
133057,The Assessment and Referral Center helps callers access all levels of behavioral health care services.
133058,Provides support group meetings to anyone who has been affected by Sudden Infant Death Syndrome.
133060,Family Promise of Northern New Castle County helps homeless families with children move toward lasting independence.
133064,A Door of Hope offers free help to women who are verifying and making decisions about their pregnancies.
133065,The American Legion offers services to veterans and their families.
133068,Pace is an outpatient based substance abuse treatment program that has a variety of programs to meet the specific needs of the client.
133072,Homeless Shelter for Men.
133079,DART First State offers transportation to disabled or senior citizen riders at a reduced cost.
133082,"A telephone based crisis hotline program. Trained volunteers will go with victims through the difficult times of medical, police, and court procedures."
133089,"Diamond State Partners is a managed care organization which provides health care services to medicaid eligible individuals in New Castle, Kent, and Sussex Counties."
133095,DART First State provides transportation services throughout the state.
133101,Medical alarm button that enables the wearer to contact an operator in an emergency for assistance.
133104,This program pays for cancer treatment services for eligible clients for a period up to 2 years.
133111,"Connections offers Primary Care, Mental Health and Addictions Treatment Services"
133118,Delivers pro bono legal services to needy Delawareans. Each client must meet federal poverty standards for income eligibility and have a civil legal problem that is not fee generating.
133122,Each Hope Lodge offers cancer patients and their caregivers a free place to stay when their best hope for effective treatment may be in another city.
133133,We provide services to help seniors and disabled adults remain independent and safe in their own homes.
133142,"Prison Fellowship Ministries actively work with those in prison, Work Release Centers and on probation."
133153,"Utilizing a comprehensive approach, we offer a continuum of affordable housing services. These include transitional housing."
133164,"At Leach School, students with disabilities represent all levels of intellectual ability."
133176,Westside Family Healthcare provides quality health care for the entire family.
133192,"LIFE Program provides comprehensive medical, health and social services to seniors who are chronically ill or disabled."
133211,Saint Georges UMC has a small food closet open to anyone who calls and needs assistance.
133213,"Outpatient, education and treatment services for alcohol and drug abusing individuals and their families."
133214,Provides emergency food and goods for children and their families. Provides monthly groceries to the elderly population on set incomes.
133222,Information and screening for services provided by the Division of Social Services to eligible residents of Delaware.
133224,"Provides probation and aftercare supervision, individual and family counseling, coordination with schools, referrals to community agencies and other support services for adjudicated youth."
134161,Provides out of home placements for children with disabilities for families or for children who are in DCF custody. Includes emergency and respite placements.
134167,To provide foster homes to children in police protective custody or children that are in foster care. Private placement in the community is also provided.
134168,Places children in permanent homes or foster care when it is not in their best interest to remain in their current homes.
134180,"Provides an independent living setting and skills to young adults age 17 and older, who are in foster care, to provide stability and a plan upon release to prevent homelessness."
134197,Mosaikon operates out of Olathe Wesleyan Church and provides Spanish and English classes for anyone interested in learning. There are Spring and Fall sessions.
134198,"This program is for all ages, men and women, high risk or no risk, who require health care and education in communicable disease, annual pap exams, and birth control methods."
134200,"To provide compassionate, quality health and dental care for all. Health Navigator."
134202,JCCC Dental hygiene students provide preventative treatments to community members.
134204,To provide medical and dental services to individuals regardless of their ability to pay.
134205,To provide a full range of medical and dental services for individuals unable to obtain them elsewhere. A sliding fee scale is available based on annual income. Spanish interpretation on site.
134209,"To provide dental services and education to everyone, regardless of race or religion. Second location at 310 E. Walnut in Garden City."
134216,"Provide dental services to the uninsured and those on a restricted income. Services include preventative, restorative, and extractions."
134218,To provide comprehensive dental services to individuals regardless of their ability to pay.
134226,Economic assistance programs for qualifying state residents
134227,"Provides A Variety Of Social, Rehabilitation, Employment, And Prevention Services."
134228,To administer income maintenance programs and social services to eligible persons.
134229,"Trust fund will pay for eye glasses and eye exams, medication, dental and medical visit, school physicals, and clothing."
134230,"To provide food, clothing, rent, utilities, prescriptions, school tuition, dental extractions, gasoline, and other assistance for those with a Winfield address."
134233,To provide medical care and preventative health care to uninsured persons. Chiropractic services are also available. No optical or dental.
134235,"Pediatrics, Primary Medical Care, and Preventative Dental Care."
134239,"Primary Medical Care, Pediatrics, and Dental Care."
134242,"Vision, medical, and dental services."
134245,"Healthcare facility for low income people in need. Provides dental, medical, and vision services."
134249,"Provides assistance with dental services, medical care, hearing aids, non controlled substance prescriptions, and vision services."
134254,Affordable and exceptional health and dental care.
134255,"To provide comprehensive medical, mental health, and dental services to individuals regardless of their ability to pay."
134265,"Education, support, coordination, technical assistance, presentations, training and workshops."
134266,The CDDO of Butler County acts as a single point of entry for application into developmental disability services
134269,Information and assistance for seniors. Friendship meals. Council on Aging Transportation Service.
134273,Assist people with disabilities who currently receive Social Security disability benefits to obtain employment.
134279,Civil and Legal rights advocacy for persons with disabilities.
134299,Sell donated items to help support the funding of South Wind Hospice.
134304,"Assisted living is available to those who need extra help, but are not ready for nursing care. Each resident has a weekly linen change, housekeeping, personal laundry and most utilities."
134306,"Provides nursing, social work, other services to terminally ill individuals in their own homes or nursing homes."
134308,"Registered or practical nurses give nursing care to the sick in their own homes, free of charge, day or night, according to the needs of each patient."
134309,"Hospice care to Ottawa county residents. Will cross county line into Saline, Cloud, Lincoln and Dickinson counties if needed."
134320,To provide adults with the opportunity to learn English.
134323,"Adult Basic Education, GED Prep, and English as a Second Language."
134329,"Provide individual, marital, couple and family counseling, crisis pregnancy services, and adoption services."
134347,"Public health services. Immunizations, Foot care, Child Care Licensing, WIC, Family Planning, Environmental Protection."
134361,To provide financial assistance for patients and their families who cannot afford to pay their bills at MRHC.
134362,To Provide Clients With Verifiable Emergency Situations Financial Assistance With Rent And Utilities.
134363,Financial assistance for Elk City area.
134367,Financial assistance within guidelines.
134368,"Provides various services for cancer patients including prescription assistance, transportation arrangements, housing for out of town relatives or for the patient, and pet therapy."
134369,Provide financial assistance to area cancer patients with financial needs.
134373,"To provide education, support, advocacy, and financial assistance. To promote wellness and provide information to individuals with MS to help them lead independent and fulfilling lives."
134382,"To provide a service that will help individuals struggling with money management meet fundamental needs, resolve financial problems, and seek enhancement for personal development."
134396,"Food pantry for residents of Wyandotte County, individuals can visit the pantry once a month."
134397,Shawnee Community Services center offers food assistance to residents in need.
134400,Church sponsored food pantry. Please go to the west entrance for the pantry.
134411,Distribution of USDA commodities and food pantry for those not eligible for commodities.
134415,A food pantry is available in addition to regular church services and activities.
134416,"Stilwell Baptist Caring Ministry provides a drive through food pantry to residents of Johnson County, KS"
134417,First Christian Church of Olathe offers a food pantry to residents of Johnson County.
134418,Food pantry and ministerial alliance.
134419,College Church of the Nazarene offers a food pantry for the residents of Olathe.
134425,Provides food resources to those in need.
134428,Food pantry. Provides food to people in need.
134430,Food pantry and community pancake and sausage breakfast.
134431,Church sponsored food pantry for the residents of Edgerton.
134434,Food pantry and commodities.
134436,Clothes closet and food pantry.
134440,Meeting human needs through the love of Jesus Christ. Food pantry.
134442,Our Savior Lutheran Church Provides A Food Pantry To Residents Living In Their Service Area.
134444,Leavenworth Assistance Center offers a food pantry to residents of Leavenworth County.
134453,Church food pantry for families in need.
134454,To provide grocery items and other household supplies as available to Baldwin City community members in need.
134455,Free food supplement once every 30 days. Commodities. Mobile food pantry.
134457,Provides food to people in need.
134464,Food pantry and assistance for job seekers.
134466,"Food pantry for zip codes 67211, 67216, 67218 and 67210."
134469,"Distribution of USDA commodities and food pantry with a wide variety of groceries, including meat."
134473,Cross Lines food pantry is available for individuals living in their service area.
134479,"Food pantry, clothes, toiletries, diapers, kitchenware, access to funding for rent and utilities, and emergency needs."
134480,Jewish Family Services provides food pantry assistance to individuals in need. Food pantries are located at two different locations in the metro area.
134487,"Food pantry, household items, and clothing closet."
134489,Church offers food pantry and clothing closet.
134492,The Wilhelmina Gill Center offers various services to low income residents living in the Wyandotte County area.
134500,"To help people with food, clothing, rent, utilities and miscellaneous house wares."
135440,"Provides food, clothing and utility emergency assistance."
135454,"Mount Carmel offers supportive services such as rent and utility assistance, case management, and food pantry."
135456,Food pantry and utility assistance for residents of the city of Girard.
